date,T7
2016-01-11 17:00:00,17.2
2016-01-11 17:10:00,17.2
2016-01-11 17:20:00,17.2
2016-01-11 17:30:00,17.1333333333333
2016-01-11 17:40:00,17.2
2016-01-11 17:50:00,17.1333333333333
2016-01-11 18:00:00,17.1333333333333
2016-01-11 18:10:00,17.1
2016-01-11 18:20:00,17.1666666666667
2016-01-11 18:30:00,17.2
2016-01-11 18:40:00,17.2475
2016-01-11 18:50:00,17.53
2016-01-11 19:00:00,17.8233333333333
2016-01-11 19:10:00,17.9633333333333
2016-01-11 19:20:00,17.9633333333333
2016-01-11 19:30:00,17.89
2016-01-11 19:40:00,17.76
2016-01-11 19:50:00,17.7
2016-01-11 20:00:00,17.6666666666667
2016-01-11 20:10:00,17.6
2016-01-11 20:20:00,17.6
2016-01-11 20:30:00,17.5333333333333
2016-01-11 20:40:00,17.6333333333333
2016-01-11 20:50:00,17.76
2016-01-11 21:00:00,17.8566666666667
2016-01-11 21:10:00,17.79
2016-01-11 21:20:00,17.89
2016-01-11 21:30:00,17.89
2016-01-11 21:40:00,17.89
2016-01-11 21:50:00,17.865
2016-01-11 22:00:00,17.79
2016-01-11 22:10:00,17.79
2016-01-11 22:20:00,17.79
2016-01-11 22:30:00,17.79
2016-01-11 22:40:00,17.79
2016-01-11 22:50:00,17.7
2016-01-11 23:00:00,17.7
2016-01-11 23:10:00,17.7
2016-01-11 23:20:00,17.7
2016-01-11 23:30:00,17.7
2016-01-11 23:40:00,17.7
2016-01-11 23:50:00,17.7
2016-01-12 00:00:00,17.7
2016-01-12 00:10:00,17.7
2016-01-12 00:20:00,17.76
2016-01-12 00:30:00,17.79
2016-01-12 00:40:00,17.79
2016-01-12 00:50:00,17.79
2016-01-12 01:00:00,17.79
2016-01-12 01:10:00,17.79
2016-01-12 01:20:00,17.79
2016-01-12 01:30:00,17.79
2016-01-12 01:40:00,17.79
2016-01-12 01:50:00,17.79
2016-01-12 02:00:00,17.79
2016-01-12 02:10:00,17.79
