date,Press_mm_hg
2016-01-11 17:00:00,733.5
2016-01-11 17:10:00,733.6
2016-01-11 17:20:00,733.7
2016-01-11 17:30:00,733.7999999999998
2016-01-11 17:40:00,733.9
2016-01-11 17:50:00,734.0
2016-01-11 18:00:00,734.1
2016-01-11 18:10:00,734.1666666666669
2016-01-11 18:20:00,734.233333333333
2016-01-11 18:30:00,734.2999999999998
2016-01-11 18:40:00,734.366666666667
2016-01-11 18:50:00,734.4333333333329
2016-01-11 19:00:00,734.5
2016-01-11 19:10:00,734.616666666667
2016-01-11 19:20:00,734.733333333333
2016-01-11 19:30:00,734.85
2016-01-11 19:40:00,734.966666666667
2016-01-11 19:50:00,735.0833333333329
2016-01-11 20:00:00,735.2
2016-01-11 20:10:00,735.233333333333
2016-01-11 20:20:00,735.266666666667
2016-01-11 20:30:00,735.2999999999998
2016-01-11 20:40:00,735.3333333333329
2016-01-11 20:50:00,735.366666666667
2016-01-11 21:00:00,735.4
2016-01-11 21:10:00,735.466666666667
2016-01-11 21:20:00,735.533333333333
2016-01-11 21:30:00,735.6
2016-01-11 21:40:00,735.6666666666669
2016-01-11 21:50:00,735.733333333333
2016-01-11 22:00:00,735.7999999999998
2016-01-11 22:10:00,735.8833333333331
2016-01-11 22:20:00,735.966666666667
2016-01-11 22:30:00,736.0499999999998
2016-01-11 22:40:00,736.1333333333331
2016-01-11 22:50:00,736.216666666667
2016-01-11 23:00:00,736.2999999999998
2016-01-11 23:10:00,736.4
2016-01-11 23:20:00,736.5
2016-01-11 23:30:00,736.6
2016-01-11 23:40:00,736.7
2016-01-11 23:50:00,736.7999999999998
2016-01-12 00:00:00,736.9
2016-01-12 00:10:00,737.0
2016-01-12 00:20:00,737.1
2016-01-12 00:30:00,737.2
2016-01-12 00:40:00,737.2999999999998
2016-01-12 00:50:00,737.4
2016-01-12 01:00:00,737.5
2016-01-12 01:10:00,737.6333333333331
2016-01-12 01:20:00,737.766666666667
2016-01-12 01:30:00,737.9
2016-01-12 01:40:00,738.033333333333
2016-01-12 01:50:00,738.1666666666669
2016-01-12 02:00:00,738.2999999999998
2016-01-12 02:10:00,738.4
2016-01-12 02:20:00,738.5
2016-01-12 02:30:00,738.6
2016-01-12 02:40:00,738.7
2016-01-12 02:50:00,738.7999999999998
2016-01-12 03:00:00,738.9
2016-01-12 03:10:00,739.016666666667
2016-01-12 03:20:00,739.1333333333331
2016-01-12 03:30:00,739.25
2016-01-12 03:40:00,739.366666666667
2016-01-12 03:50:00,739.483333333333
2016-01-12 04:00:00,739.6
2016-01-12 04:10:00,739.65
2016-01-12 04:20:00,739.7
2016-01-12 04:30:00,739.75
2016-01-12 04:40:00,739.7999999999998
2016-01-12 04:50:00,739.85
2016-01-12 05:00:00,739.9
2016-01-12 05:10:00,739.966666666667
2016-01-12 05:20:00,740.033333333333
2016-01-12 05:30:00,740.1
2016-01-12 05:40:00,740.1666666666669
2016-01-12 05:50:00,740.233333333333
2016-01-12 06:00:00,740.2999999999998
2016-01-12 06:10:00,740.4333333333329
2016-01-12 06:20:00,740.5666666666668
2016-01-12 06:30:00,740.7
2016-01-12 06:40:00,740.8333333333329
2016-01-12 06:50:00,740.966666666667
2016-01-12 07:00:00,741.1
2016-01-12 07:10:00,741.216666666667
2016-01-12 07:20:00,741.3333333333329
2016-01-12 07:30:00,741.45
2016-01-12 07:40:00,741.5666666666668
2016-01-12 07:50:00,741.6833333333329
2016-01-12 08:00:00,741.7999999999998
2016-01-12 08:10:00,741.8833333333331
2016-01-12 08:20:00,741.966666666667
2016-01-12 08:30:00,742.0499999999998
2016-01-12 08:40:00,742.1333333333331
2016-01-12 08:50:00,742.216666666667
2016-01-12 09:00:00,742.2999999999998
2016-01-12 09:10:00,742.3833333333331
2016-01-12 09:20:00,742.466666666667
2016-01-12 09:30:00,742.5499999999998
2016-01-12 09:40:00,742.6333333333331
2016-01-12 09:50:00,742.716666666667
2016-01-12 10:00:00,742.7999999999998
2016-01-12 10:10:00,742.8833333333331
2016-01-12 10:20:00,742.966666666667
2016-01-12 10:30:00,743.0499999999998
2016-01-12 10:40:00,743.1333333333331
2016-01-12 10:50:00,743.216666666667
2016-01-12 11:00:00,743.2999999999998
2016-01-12 11:10:00,743.3333333333329
2016-01-12 11:20:00,743.366666666667
2016-01-12 11:30:00,743.4
2016-01-12 11:40:00,743.4333333333329
2016-01-12 11:50:00,743.466666666667
