date,Tdewpoint
2016-01-11 17:00:00,5.3
2016-01-11 17:10:00,5.2
2016-01-11 17:20:00,5.1
2016-01-11 17:30:00,5.0
2016-01-11 17:40:00,4.9
2016-01-11 17:50:00,4.8
2016-01-11 18:00:00,4.7
2016-01-11 18:10:00,4.68333333333333
2016-01-11 18:20:00,4.66666666666667
2016-01-11 18:30:00,4.65
2016-01-11 18:40:00,4.633333333333329
2016-01-11 18:50:00,4.61666666666667
2016-01-11 19:00:00,4.6
2016-01-11 19:10:00,4.51666666666667
2016-01-11 19:20:00,4.43333333333333
2016-01-11 19:30:00,4.35
2016-01-11 19:40:00,4.26666666666667
2016-01-11 19:50:00,4.18333333333333
2016-01-11 20:00:00,4.1
2016-01-11 20:10:00,4.06666666666667
2016-01-11 20:20:00,4.03333333333333
2016-01-11 20:30:00,4.0
2016-01-11 20:40:00,3.9666666666666694
2016-01-11 20:50:00,3.9333333333333296
2016-01-11 21:00:00,3.9
2016-01-11 21:10:00,3.86666666666667
2016-01-11 21:20:00,3.8333333333333295
2016-01-11 21:30:00,3.8
2016-01-11 21:40:00,3.7666666666666706
2016-01-11 21:50:00,3.7333333333333294
2016-01-11 22:00:00,3.7
2016-01-11 22:10:00,3.7166666666666694
2016-01-11 22:20:00,3.7333333333333294
2016-01-11 22:30:00,3.75
2016-01-11 22:40:00,3.7666666666666706
2016-01-11 22:50:00,3.7833333333333297
2016-01-11 23:00:00,3.8
2016-01-11 23:10:00,3.85
2016-01-11 23:20:00,3.9
2016-01-11 23:30:00,3.95
2016-01-11 23:40:00,4.0
2016-01-11 23:50:00,4.05
2016-01-12 00:00:00,4.1
2016-01-12 00:10:00,4.06666666666667
2016-01-12 00:20:00,4.03333333333333
2016-01-12 00:30:00,4.0
2016-01-12 00:40:00,3.9666666666666694
2016-01-12 00:50:00,3.9333333333333296
2016-01-12 01:00:00,3.9
2016-01-12 01:10:00,3.9166666666666705
2016-01-12 01:20:00,3.9333333333333296
2016-01-12 01:30:00,3.95
2016-01-12 01:40:00,3.9666666666666694
2016-01-12 01:50:00,3.9833333333333294
2016-01-12 02:00:00,4.0
2016-01-12 02:10:00,3.9333333333333296
2016-01-12 02:20:00,3.86666666666667
2016-01-12 02:30:00,3.8
2016-01-12 02:40:00,3.7333333333333294
2016-01-12 02:50:00,3.6666666666666705
2016-01-12 03:00:00,3.6
2016-01-12 03:10:00,3.6333333333333298
2016-01-12 03:20:00,3.6666666666666705
2016-01-12 03:30:00,3.7
2016-01-12 03:40:00,3.7333333333333294
2016-01-12 03:50:00,3.7666666666666706
2016-01-12 04:00:00,3.8
2016-01-12 04:10:00,3.7666666666666706
2016-01-12 04:20:00,3.7333333333333294
