date,RH_7
2016-01-11 17:00:00,41.6266666666667
2016-01-11 17:10:00,41.56
2016-01-11 17:20:00,41.433333333333294
2016-01-11 17:30:00,41.29
2016-01-11 17:40:00,41.23
2016-01-11 17:50:00,41.26
2016-01-11 18:00:00,41.2
2016-01-11 18:10:00,41.2
2016-01-11 18:20:00,41.4
2016-01-11 18:30:00,41.5
2016-01-11 18:40:00,42.7175
2016-01-11 18:50:00,44.26333333333329
2016-01-11 19:00:00,45.4933333333333
2016-01-11 19:10:00,46.16
2016-01-11 19:20:00,45.533333333333296
2016-01-11 19:30:00,44.9266666666667
2016-01-11 19:40:00,44.2666666666667
2016-01-11 19:50:00,43.7266666666667
2016-01-11 20:00:00,43.16
2016-01-11 20:10:00,42.69333333333329
2016-01-11 20:20:00,42.33333333333329
2016-01-11 20:30:00,42.0666666666667
2016-01-11 20:40:00,43.6333333333333
2016-01-11 20:50:00,43.6333333333333
2016-01-11 21:00:00,43.46
2016-01-11 21:10:00,43.4
2016-01-11 21:20:00,43.79
2016-01-11 21:30:00,43.79
2016-01-11 21:40:00,43.7
2016-01-11 21:50:00,43.57
2016-01-11 22:00:00,43.4
2016-01-11 22:10:00,43.223333333333294
2016-01-11 22:20:00,43.03
2016-01-11 22:30:00,42.76
2016-01-11 22:40:00,42.6266666666667
2016-01-11 22:50:00,42.6266666666667
2016-01-11 23:00:00,42.76
2016-01-11 23:10:00,43.03
2016-01-11 23:20:00,43.1633333333333
2016-01-11 23:30:00,43.4
2016-01-11 23:40:00,43.4666666666667
2016-01-11 23:50:00,43.6266666666667
2016-01-12 00:00:00,43.76
2016-01-12 00:10:00,43.933333333333294
2016-01-12 00:20:00,44.33333333333329
2016-01-12 00:30:00,44.963333333333296
2016-01-12 00:40:00,45.223333333333294
2016-01-12 00:50:00,45.3266666666667
2016-01-12 01:00:00,45.425
2016-01-12 01:10:00,45.56
2016-01-12 01:20:00,45.73
2016-01-12 01:30:00,45.863333333333294
2016-01-12 01:40:00,45.8266666666667
